,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Team,Position,avg_speed,max_speed,min_speed,avg_throttle,full_throttle,full_brake,air_temp,track_temp,wind_dir,wind_speed,dim1,dim2,tsne_clusters_id
0,2,VER,101.51,3.0,1.0,29.192,43.226,29.092,HARD,3.0,Red Bull Racing,9.0,174.4625322997416,308.0,52.0,54.42635658914729,0.3875968992248062,0.25064599483204136,29.9,37.3,168.0,1.0,27.27639,9.1650095,1
1,3,VER,101.143,4.0,1.0,29.199,43.338,28.606,HARD,4.0,Red Bull Racing,9.0,171.0424403183024,305.0,61.0,52.6710875331565,0.376657824933687,0.246684350132626,29.9,37.2,183.0,1.2,27.332947,17.849876,1
2,4,VER,101.308,5.0,1.0,29.224,43.414,28.67,HARD,5.0,Red Bull Racing,9.0,170.68911917098447,309.0,59.0,52.704663212435236,0.3626943005181347,0.23575129533678757,29.9,37.0,163.0,1.2,24.444086,14.677065,1
3,5,VER,101.313,6.0,1.0,29.28,43.618,28.415,HARD,6.0,Red Bull Racing,8.0,173.69148936170214,315.0,59.0,55.07446808510638,0.40691489361702127,0.2632978723404255,30.0,36.7,172.0,1.7,19.38383,1.999484,1
4,6,VER,100.423,7.0,1.0,29.547,42.619,28.257,HARD,7.0,Red Bull Racing,8.0,175.36631016042782,287.0,64.0,54.57486631016043,0.39572192513368987,0.22192513368983957,30.0,36.8,163.0,1.2,-1.5390323,24.188013,0
5,7,VER,100.177,8.0,1.0,29.375,42.775,28.027,HARD,8.0,Red Bull Racing,8.0,174.7303664921466,291.0,61.0,55.76701570680628,0.4109947643979058,0.2356020942408377,30.0,36.5,161.0,1.7,-3.1669343,18.929811,0
6,8,VER,100.264,9.0,1.0,29.366,42.774,28.124,HARD,9.0,Red Bull Racing,8.0,174.7108108108108,292.0,62.0,55.43783783783784,0.3918918918918919,0.22432432432432434,30.0,36.3,163.0,1.7,-3.1519184,18.106451,0
7,9,VER,100.408,10.0,1.0,29.385,42.904,28.119,HARD,10.0,Red Bull Racing,8.0,172.96747967479675,292.0,62.0,54.06233062330623,0.3902439024390244,0.25474254742547425,30.0,36.2,175.0,1.2,9.414112,30.637114,0
8,10,VER,100.423,11.0,1.0,29.174,43.092,28.157,HARD,11.0,Red Bull Racing,8.0,172.1577540106952,306.0,62.0,52.74598930481283,0.3582887700534759,0.25935828877005346,30.0,36.8,145.0,1.1,12.156807,12.809988,0
9,11,VER,100.602,12.0,1.0,29.376,43.056,28.17,HARD,12.0,Red Bull Racing,8.0,172.72554347826087,291.0,59.0,52.15760869565217,0.3695652173913043,0.25271739130434784,30.1,36.8,138.0,2.0,-0.3929194,39.56132,0
