,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Team,Position,avg_speed,max_speed,min_speed,avg_throttle,full_throttle,full_brake,air_temp,track_temp,wind_dir,wind_speed,dim1,dim2,tsne_clusters_id
0,3,VER,83.391,4.0,1.0,28.9,18.326,36.165,MEDIUM,4.0,Red Bull Racing,3.0,226.0506329113924,308.0,94.0,71.4367088607595,0.620253164556962,0.16455696202531644,17.8,34.4,0.0,0.8,19.777193,37.001686,1
1,4,VER,83.104,5.0,1.0,28.935,18.347,35.822,MEDIUM,5.0,Red Bull Racing,3.0,226.00946372239747,306.0,90.0,71.62145110410094,0.6088328075709779,0.1608832807570978,17.8,34.0,163.0,1.2,17.7318,28.872667,1
2,5,VER,82.843,6.0,1.0,28.986,17.951,35.906,MEDIUM,6.0,Red Bull Racing,3.0,227.50479233226838,328.0,84.0,72.42492012779553,0.6198083067092651,0.16613418530351437,17.7,33.7,157.0,1.0,21.588629,23.049734,1
3,9,VER,87.827,10.0,2.0,33.323,18.633,35.871,HARD,2.0,Red Bull Racing,2.0,215.35735735735736,303.0,60.0,71.27927927927928,0.6006006006006006,0.18018018018018017,18.0,32.9,161.0,1.2,6.9349713,39.518787,1
4,10,VER,83.46,11.0,2.0,29.054,18.556,35.85,HARD,3.0,Red Bull Racing,2.0,225.81645569620252,303.0,90.0,74.67721518987342,0.6487341772151899,0.1518987341772152,18.0,33.1,165.0,0.6,9.1704,26.363878,1
5,11,VER,81.994,12.0,2.0,28.827,18.134,35.033,HARD,4.0,Red Bull Racing,1.0,228.21621621621622,325.0,93.0,73.97635135135135,0.6283783783783784,0.16891891891891891,18.0,33.0,141.0,0.8,20.55088,16.550753,1
6,12,VER,83.286,13.0,2.0,28.876,18.642,35.768,HARD,5.0,Red Bull Racing,1.0,224.3527508090615,299.0,93.0,71.57281553398059,0.5792880258899676,0.14563106796116504,18.0,32.9,140.0,1.2,7.5615125,27.422379,1
7,13,VER,82.869,14.0,2.0,28.769,18.604,35.496,HARD,6.0,Red Bull Racing,1.0,227.90322580645162,300.0,95.0,71.93225806451613,0.603225806451613,0.16129032258064516,18.0,32.8,163.0,2.0,8.577424,-28.148756,2
8,14,VER,82.817,15.0,2.0,28.785,18.527,35.505,HARD,7.0,Red Bull Racing,1.0,227.196875,300.0,94.0,72.7,0.60625,0.159375,18.1,32.5,155.0,1.0,7.499026,26.547615,1
9,15,VER,82.599,16.0,2.0,28.696,18.502,35.401,HARD,8.0,Red Bull Racing,1.0,227.55095541401275,300.0,96.0,72.10828025477707,0.5923566878980892,0.15286624203821655,18.0,32.5,346.0,1.1,33.101173,-10.635574,2
10,16,VER,82.595,17.0,2.0,28.6,18.529,35.466,HARD,9.0,Red Bull Racing,1.0,227.4625850340136,300.0,92.0,75.33333333333333,0.6224489795918368,0.14965986394557823,18.1,32.2,80.0,0.8,7.7949023,25.50913,1
11,19,VER,82.389,20.0,2.0,28.643,18.603,35.143,HARD,12.0,Red Bull Racing,1.0,227.80392156862746,297.0,93.0,74.00653594771242,0.6209150326797386,0.16013071895424835,17.9,32.0,126.0,1.8,7.9939218,-27.020798,2
12,20,VER,82.11,21.0,2.0,28.596,18.437,35.077,HARD,13.0,Red Bull Racing,1.0,228.92857142857142,299.0,96.0,75.36363636363636,0.6558441558441559,0.1396103896103896,17.8,31.7,147.0,0.8,3.2718964,-9.155022,2
13,21,VER,82.269,22.0,2.0,28.588,18.517,35.164,HARD,14.0,Red Bull Racing,1.0,228.30914826498423,301.0,96.0,73.84227129337539,0.6246056782334385,0.15141955835962145,17.9,31.7,321.0,1.6,32.30501,-9.836713,2
14,22,VER,82.193,23.0,2.0,28.561,18.479,35.153,HARD,15.0,Red Bull Racing,1.0,229.27868852459017,299.0,91.0,73.20655737704918,0.6065573770491803,0.14098360655737704,17.8,31.7,120.0,1.7,7.1453886,-25.580427,2
15,23,VER,81.843,24.0,2.0,28.374,18.413,35.056,HARD,16.0,Red Bull Racing,1.0,229.28301886792454,299.0,94.0,74.88364779874213,0.6477987421383647,0.14465408805031446,17.7,31.7,164.0,1.5,6.1042247,-23.963799,2
16,24,VER,82.104,25.0,2.0,28.561,18.458,35.085,HARD,17.0,Red Bull Racing,1.0,226.67320261437908,300.0,92.0,73.05882352941177,0.6013071895424836,0.14705882352941177,17.8,31.4,130.0,1.7,6.96111,-25.68093,2
17,25,VER,81.972,26.0,2.0,28.495,18.436,35.041,HARD,18.0,Red Bull Racing,1.0,228.4440789473684,300.0,94.0,73.64473684210526,0.6217105263157895,0.15789473684210525,17.7,31.6,148.0,2.2,6.815604,-26.853806,2
18,26,VER,81.924,27.0,2.0,28.394,18.431,35.099,HARD,19.0,Red Bull Racing,1.0,230.15887850467288,300.0,95.0,74.65109034267913,0.6074766355140186,0.14330218068535824,17.8,31.4,133.0,1.6,5.7100735,-24.717157,2
19,27,VER,81.926,28.0,2.0,28.436,18.404,35.086,HARD,20.0,Red Bull Racing,1.0,228.8808777429467,301.0,95.0,74.04702194357367,0.6175548589341693,0.1536050156739812,17.8,31.4,323.0,1.3,33.208187,-8.793495,2
20,28,VER,81.772,29.0,2.0,28.409,18.376,34.987,HARD,21.0,Red Bull Racing,1.0,232.3106796116505,300.0,93.0,74.5631067961165,0.6148867313915858,0.15210355987055016,17.7,31.1,156.0,0.8,1.1968616,-9.011904,2
21,29,VER,82.002,30.0,2.0,28.353,18.414,35.235,HARD,22.0,Red Bull Racing,1.0,229.51132686084142,300.0,91.0,72.69902912621359,0.6116504854368932,0.1650485436893204,17.8,31.0,343.0,1.3,33.88819,-8.386742,2
22,30,VER,82.024,31.0,2.0,28.451,18.29,35.283,HARD,23.0,Red Bull Racing,1.0,228.33,301.0,93.0,73.55666666666667,0.62,0.16,17.8,31.0,152.0,1.2,-2.3147745,-15.899583,2
23,31,VER,82.012,32.0,2.0,28.335,18.404,35.273,HARD,24.0,Red Bull Racing,1.0,228.6525974025974,300.0,92.0,72.94155844155844,0.6006493506493507,0.16233766233766234,17.9,31.0,139.0,1.0,-2.6140375,-15.5204735,2
24,32,VER,81.819,33.0,2.0,28.27,18.343,35.206,HARD,25.0,Red Bull Racing,1.0,228.2675159235669,300.0,92.0,73.7515923566879,0.6210191082802548,0.14968152866242038,17.9,30.8,0.0,1.0,-8.476799,-11.809448,0
25,33,VER,81.894,34.0,2.0,28.381,18.355,35.158,HARD,26.0,Red Bull Racing,1.0,229.70287539936103,300.0,94.0,76.03833865814697,0.6261980830670927,0.134185303514377,18.0,30.7,144.0,0.6,-3.5842805,-12.527365,2
26,34,VER,81.681,35.0,2.0,28.333,18.331,35.017,HARD,27.0,Red Bull Racing,1.0,229.58278145695365,301.0,94.0,75.55960264900662,0.6324503311258278,0.152317880794702,17.9,30.6,94.0,1.6,-0.50931084,-21.508806,2
27,35,VER,81.732,36.0,2.0,28.37,18.313,35.049,HARD,28.0,Red Bull Racing,1.0,230.4984126984127,300.0,94.0,74.4952380952381,0.6285714285714286,0.14603174603174604,17.9,30.6,118.0,1.3,-2.4017053,-17.267458,2
28,36,VER,81.403,37.0,2.0,28.327,18.257,34.819,HARD,29.0,Red Bull Racing,1.0,230.5559210526316,301.0,94.0,75.33223684210526,0.631578947368421,0.1513157894736842,17.8,30.4,135.0,1.3,-2.1065047,-17.062046,2
29,37,VER,81.319,38.0,2.0,28.293,18.217,34.809,HARD,30.0,Red Bull Racing,1.0,231.87781350482314,305.0,94.0,76.7749196141479,0.6463022508038585,0.12861736334405144,17.9,30.2,0.0,0.8,-10.998258,-11.552059,0
30,38,VER,81.578,39.0,2.0,28.528,18.282,34.768,HARD,31.0,Red Bull Racing,1.0,231.6925566343042,301.0,92.0,75.48867313915858,0.6440129449838188,0.15210355987055016,17.9,30.2,0.0,1.1,-9.755854,-11.158289,0
31,39,VER,81.078,40.0,2.0,28.204,18.226,34.648,HARD,32.0,Red Bull Racing,1.0,232.781045751634,300.0,94.0,77.7875816993464,0.673202614379085,0.13398692810457516,17.7,30.1,128.0,2.2,-2.6599576,-31.405794,2
32,40,VER,80.986,41.0,2.0,28.187,18.181,34.618,HARD,33.0,Red Bull Racing,1.0,231.43706293706293,302.0,100.0,75.18881118881119,0.6328671328671329,0.13286713286713286,17.6,29.9,0.0,1.5,-31.150923,-14.710135,0
33,41,VER,81.148,42.0,2.0,28.228,18.251,34.669,HARD,34.0,Red Bull Racing,1.0,231.03678929765886,303.0,94.0,76.22408026755853,0.6321070234113713,0.13712374581939799,17.6,29.9,146.0,1.0,-28.973124,-26.765795,0
34,42,VER,81.166,43.0,2.0,28.222,18.17,34.774,HARD,35.0,Red Bull Racing,1.0,232.78,305.0,90.0,75.35666666666667,0.6433333333333333,0.14333333333333334,17.6,29.7,156.0,0.8,-30.29294,-26.419565,0
35,43,VER,81.089,44.0,2.0,28.159,18.228,34.702,HARD,36.0,Red Bull Racing,1.0,234.46575342465752,303.0,92.0,78.4486301369863,0.6541095890410958,0.13013698630136986,17.6,29.6,0.0,1.7,-29.055876,-13.691592,0
36,44,VER,80.807,45.0,2.0,28.13,18.192,34.485,HARD,37.0,Red Bull Racing,1.0,234.20065789473685,301.0,100.0,77.20723684210526,0.6644736842105263,0.13157894736842105,17.6,29.6,136.0,1.2,-26.795286,-21.04059,0
37,45,VER,80.703,46.0,2.0,28.029,18.123,34.551,HARD,38.0,Red Bull Racing,1.0,229.96428571428572,303.0,93.0,74.01298701298701,0.6136363636363636,0.1461038961038961,17.5,29.3,90.0,1.2,-33.093708,-17.76671,0
